delta,theta,alpha,beta,label,subject_id
5.149008347305099e-10,1.0290652991088243e-11,2.835123073796201e-12,7.238966572961741e-13,N3,7041
4.0575446727007467e-10,1.3194517388072615e-11,2.474599592880394e-12,6.372847313624e-13,N3,7041
4.3351943110314354e-10,1.479424060368698e-11,3.4132886511579575e-12,6.946915141871039e-13,N3,7041
2.8240094445636666e-10,1.398033263929036e-11,3.89798426231986e-12,4.2785000307839586e-13,N3,7041
4.345619314722178e-10,1.2529386099298275e-11,3.6287560975309807e-12,6.369718215005686e-13,N3,7041
3.8099263773382453e-10,1.329761194336122e-11,2.3476251024911374e-12,2.546791822617457e-13,N3,7041
3.324496735334794e-10,1.2278415577032209e-11,2.5275530350395252e-12,6.167172843137055e-13,N3,7041
3.4898081705663144e-10,1.0727065667947589e-11,2.53618517226626e-12,3.8248634551768656e-13,N3,7041
3.880821640434752e-10,1.637479183200511e-11,3.001180400945688e-12,6.182852692545605e-13,N3,7041
3.919213933996752e-10,1.5103011178597863e-11,2.2451146016492436e-12,3.3292775266818687e-13,N3,7041
4.158244830291881e-10,1.3671890514671385e-11,2.126252853895375e-12,2.8758937964032176e-13,N3,7041
2.7322260988440043e-10,1.0727819238373986e-11,3.1836617291941934e-12,5.045939630359522e-13,N3,7041
4.673152952565124e-10,1.5587489097857282e-11,3.3430581294404924e-12,4.874633215698034e-13,N3,7041
8.681808501037029e-11,6.3113647125279846e-12,2.7837163973423653e-12,1.1515667280215606e-12,N1,7041
1.4300121864378437e-10,6.865777447817196e-12,2.606721161295081e-12,2.7218304591301333e-13,N2,7041
3.009497874911833e-11,3.3111273029494465e-12,7.907399635389754e-13,2.5147193479100656e-13,REM,7041
1.9336506617315683e-10,1.0526050823720974e-11,4.329028108022701e-12,6.618741763221588e-12,Wake,7041
1.6077190862426676e-11,9.720396186288337e-13,5.606646121023164e-13,2.9387772043094915e-13,N1,7041
1.5912076963292048e-11,2.5506488977131065e-12,1.3795773208960774e-12,3.581719519177574e-13,N2,7041
1.7084841343000456e-10,7.1193947200508555e-12,2.2048341115593526e-12,3.898603103147733e-13,N3,7041
2.0508384104478919e-10,9.754723996917972e-12,3.1183097512463654e-12,2.458041851660697e-13,N2,7041
3.9883783063642205e-10,8.768011077437047e-12,3.187641928831704e-12,3.814582672718834e-13,N3,7041
4.596089881900948e-10,1.102273394279144e-11,3.4163761892195403e-12,4.958544899180789e-13,N3,7041
2.2916899427377866e-10,8.198510381901743e-12,2.630448455921715e-12,2.8669703964061447e-13,N3,7041
4.193029240055005e-10,1.0572973655106808e-11,2.0901720740602567e-12,4.0542997318773e-13,N3,7041
2.946070963452435e-10,8.028680333006105e-12,2.3628825024747115e-12,2.5154434145981374e-13,N3,7041
3.664957300805103e-10,9.421244650781861e-12,2.152320123660183e-12,2.6329351851440594e-13,N3,7041
4.2386572749971333e-10,1.0786076985599607e-11,2.9291789272102933e-12,3.739721055012329e-13,N3,7041
4.6425029218905033e-10,9.919552879173486e-12,3.1033754116327353e-12,7.314064332162961e-13,N3,7041
5.293424097109814e-10,1.0031492758257213e-11,1.9886200087961515e-12,3.116687498295546e-13,N3,7041
5.332503368278154e-10,9.055337338156062e-12,2.7693369925006217e-12,2.732372815575882e-13,N3,7041
3.4994191603928987e-10,8.077011219293015e-12,2.2381739673066434e-12,2.575039640657814e-13,N3,7041
4.809571567922902e-10,1.0128016633104706e-11,3.650655301500751e-12,3.948147484709908e-13,N3,7041
2.241468380703426e-10,9.639016808510974e-12,2.155640042586615e-12,3.873809447861699e-13,N3,7041
4.095426603122609e-10,1.1509596033308048e-11,2.7944868973471493e-12,3.0183717145500297e-13,N3,7041
2.526087132276538e-10,7.349039982199835e-12,2.9425151858714412e-12,5.421234989043799e-13,N3,7041
4.5986687749988826e-10,1.1013864242079381e-11,2.3798934064259617e-12,4.3871147181854775e-13,N3,7041
2.8763139599619504e-10,1.2198416724230246e-11,2.6989885541220142e-12,3.9186073064254053e-13,N3,7041
4.1463326391836324e-10,1.0332964452515946e-11,4.329628701666082e-12,3.8181939692335264e-13,N3,7041
3.697491142917135e-10,7.97513847545119e-12,1.9963629844709836e-12,2.94929830001234e-13,N3,7041
3.363907998518191e-10,9.289677589072488e-12,2.7257452876142453e-12,4.739393850361236e-13,N3,7041
2.212100998654378e-10,1.1207301292503211e-11,2.215615733803415e-12,3.0359366050291586e-13,N3,7041
3.838799327067041e-10,9.89494798089037e-12,2.446109514230485e-12,5.0974957816644e-13,N2,7041
4.406533828484265e-10,1.3959983327599907e-11,2.3976829181916775e-12,3.535425326631052e-13,N3,7041
3.618310013138063e-10,1.0670402946566354e-11,2.3884910988486816e-12,3.4231702793489583e-13,N3,7041
2.9413295724104675e-10,8.305197156303846e-12,1.6744989295683382e-12,2.5510683141790837e-13,N3,7041
5.262179494050518e-10,1.3810938084653067e-11,1.5693095906952962e-12,2.7583164516009524e-13,N3,7041
5.89189302775372e-10,2.7148970083592014e-11,1.0473697268196357e-11,7.414840380409136e-12,N1,7041
1.2989084002054026e-10,6.140963388660149e-12,1.7671881607380223e-12,2.57588111247709e-13,N2,7041
5.869178310389111e-11,5.502031819050424e-12,1.7379288796615115e-12,2.952921810470367e-13,N1,7041
4.708637007522292e-11,5.755978187057295e-12,4.003778668436942e-12,7.326796612234326e-13,N2,7041
1.5126675025560513e-10,7.351246415640546e-12,7.3110529054983e-12,1.4288179411027507e-11,Wake,7041
3.671703870014437e-11,1.9023094486486154e-12,1.407133311472838e-12,2.639942839197361e-13,N1,7041
1.2746397142983305e-10,2.3847277697379095e-12,2.736077979189839e-12,5.736581977136587e-13,N2,7041
8.502713717139544e-11,4.210916047251873e-12,5.863954918747857e-12,4.0740200481777914e-13,REM,7041
1.0364153818063014e-10,3.188546703355656e-12,2.1337862174710107e-12,4.791673848054222e-13,REM,7041
3.0068321181391803e-10,8.771752076021906e-12,3.9407490468080465e-12,2.0462890589094885e-12,N1,7041
5.011531727601894e-11,2.860910747989454e-12,1.255499665549585e-12,5.248809257356876e-13,N2,7041
3.222896595593809e-10,1.2759978892377803e-11,4.950008465390982e-12,4.386964422228321e-12,Wake,7041
2.818237670287924e-11,1.2106573427203495e-12,6.602786739395716e-13,3.5558291512246683e-13,N1,7041
4.570509353748102e-10,1.2505798318684393e-11,5.261679776958718e-12,2.738515812550535e-12,Wake,7041
1.4553778219662636e-11,1.4370378679667049e-12,6.859087593182887e-13,3.3292208067583336e-13,N1,7041
3.999780255455598e-11,3.899430068038154e-12,1.671372111561243e-12,3.8111373483454655e-13,N2,7041
1.1868432648812249e-10,3.030110651155482e-12,1.6873113614941568e-12,1.599744818846327e-12,N1,7041
4.0737053639120045e-10,1.1363416555136074e-11,4.2735164922920485e-12,3.0329257269309013e-12,Wake,7041
1.6065883252380948e-11,1.1083539934858871e-12,4.1290186581580014e-13,3.3003188217148615e-13,N1,7041
2.938071972839001e-11,3.129179352820901e-12,1.2275614543152838e-12,3.2269046121249083e-13,N2,7041
6.126532302492849e-11,5.6818455304946045e-12,1.2661421837367585e-12,3.888637088521038e-13,REM,7041
2.5047987407097147e-11,2.8685892829260886e-12,1.1897233772390527e-12,4.810355027298755e-13,N2,7041
1.3432949063422506e-10,7.88455078328603e-12,4.80402112651644e-12,2.557973575059724e-12,Wake,7041
7.429310306909633e-11,2.304140679247337e-12,1.5865159612009907e-12,1.2608524653730618e-12,N1,7041
2.2201128828546753e-11,2.0668961420328033e-12,2.809689081953483e-12,4.2496661278903224e-13,N2,7041
3.1120621690835794e-10,7.0107883876661536e-12,4.459290736189187e-12,7.378371347683187e-13,N3,7041
1.9032258442798843e-10,5.413729673452779e-12,2.9141678753898895e-12,9.821194495987547e-13,N2,7041
2.806532516271995e-10,9.674815928323267e-12,2.547538233674789e-12,6.282391847307326e-13,N3,7041
5.129930017894901e-10,2.1295095489321133e-11,8.642570402655538e-12,4.281524398353085e-12,Wake,7041
5.165185473388846e-11,4.339207649342663e-12,2.308009803495536e-12,8.033519237723284e-13,N1,7041
4.2093618407902265e-11,4.636540615447103e-12,2.50089482992179e-12,3.1394401768285257e-13,N2,7041
2.0985910813755744e-10,1.0441645035216873e-11,3.514366603938628e-12,4.5335614261753117e-13,N3,7041
1.9578959052309918e-10,6.637712284095936e-12,1.9163620427683267e-12,4.1994380790591835e-13,N2,7041
2.7293633710461476e-10,7.73884924374234e-12,3.5030721667229654e-12,3.493138822584543e-13,N3,7041
1.416055058347948e-10,6.251656025139623e-12,2.9153944285299843e-12,3.411287927655849e-13,N2,7041
4.943798422124441e-10,7.040876929625966e-12,2.260042551347e-12,5.145633489663808e-13,N3,7041
4.677929984002151e-10,1.888416253051639e-11,1.1021283063894819e-11,9.042362503805112e-12,Wake,7041
3.5826425593917e-10,8.351640312167978e-12,4.055076888773371e-12,5.737846597193309e-13,N1,7041
4.876841470845193e-11,2.4775932985075958e-12,1.4431739528145732e-12,8.239994624621071e-13,N2,7041
1.0665144266631643e-10,1.1260500399021342e-11,8.941322096159574e-12,5.157145125620259e-12,Wake,7041
5.33893029957845e-11,2.6266213062397294e-12,2.139239233285158e-12,1.1883751099453246e-12,N1,7041
2.974202576628587e-11,3.733616936804355e-12,3.0702980904533713e-12,7.641145050034501e-13,N2,7041
1.1640671631282292e-10,9.644217332954136e-12,9.459999618056174e-12,7.367127156726462e-12,Wake,7041
2.6029044878318563e-11,1.7516665030568273e-12,9.031999444163838e-13,3.0855631856472204e-13,N1,7041
5.3242292668750296e-11,4.8769045546576385e-12,1.4199559655387599e-12,3.0660045149535957e-13,N2,7041
1.5658982573715192e-10,5.761565138234848e-12,8.752971623598313e-13,3.42409909754098e-13,REM,7041
4.606398544245148e-11,5.249184517349262e-12,9.506413744538529e-13,2.491507413887989e-13,N2,7041
1.8046199300932056e-11,4.40300751331326e-12,2.3420264335871455e-12,1.9790815668172367e-12,N1,7041
3.262889954408101e-11,2.936988130078532e-12,8.930677440177984e-13,4.942583072528939e-13,N2,7041
2.8029064635107163e-10,8.658922869356575e-12,5.092674519856848e-12,6.2403200942256766e-12,N1,7041
2.4447715450988844e-11,2.398329596883728e-12,1.1787080501699499e-12,4.572514069016812e-13,N2,7041
1.0709521068320107e-10,1.5535817371837826e-11,8.609528111416448e-12,8.385559105353767e-12,Wake,7041
5.392911627148369e-11,3.878678555906309e-12,2.330241282577271e-12,2.2812803239143957e-12,N1,7041
1.606087866205693e-10,1.2698747932936984e-11,1.0318431852388315e-11,1.4145931790274629e-11,Wake,7041
8.457598892771707e-11,1.1353911436984988e-11,2.1769100301782983e-12,1.0030417794504176e-12,N1,7041
3.240160321741766e-11,7.370471625412228e-12,4.541276665145384e-12,4.767512691083024e-12,Wake,7041
2.9046860317223415e-11,2.531276509706668e-12,9.287276004072593e-13,4.689087236690673e-13,N1,7041
6.237604104333664e-11,1.0266082285081487e-11,6.866941975604424e-12,3.414896993557905e-12,Wake,7041
2.0988402178912082e-11,1.7726312668452143e-12,9.437749476687487e-13,4.652754676240461e-13,N1,7041
5.5708725801339634e-11,3.296020329987383e-12,6.778207589457817e-13,2.4370155779508857e-13,N2,7041
1.4229263026875572e-10,5.534918861458495e-12,3.981205698165239e-12,2.1639703336084996e-12,N1,7041
5.7375315218232764e-11,7.396265005491911e-12,1.6621418185964734e-12,3.646958986242771e-13,N2,7041
5.6256965134977375e-11,6.731586533846658e-12,8.50714685545314e-13,2.9340588180505486e-13,REM,7041
3.314514666490015e-10,1.87876068153719e-11,4.718077327457152e-12,1.5958039866542755e-12,Wake,7041
1.6711421013192302e-11,1.88393609883076e-12,2.374872342019271e-12,1.876363589290503e-12,N1,7041
1.73706862551175e-11,1.826279955349329e-12,8.381816482624971e-13,2.8482592488551897e-13,REM,7041
6.191786751379456e-10,1.8942938541386038e-11,4.462566995941359e-12,3.74044642005589e-12,Wake,7041
1.4571323839561596e-11,1.7304855899379041e-12,8.53939538758916e-13,2.389551327401822e-13,N1,7041
3.0416015058454347e-10,8.199963665969935e-12,1.8107195992196661e-12,7.002724672289593e-13,Wake,7041
1.915247204398143e-11,2.3318216334112493e-12,7.453711896487615e-13,2.9064825832799547e-13,N1,7041
4.952206573689735e-11,2.583007659700713e-12,1.0485452372193956e-12,3.0812778935851964e-13,N2,7041
7.682811607224272e-10,4.717303730957569e-11,1.6498892057188e-11,6.844246432600511e-12,Wake,7041
3.1675646701119064e-11,2.0143551004494215e-12,8.177745104928701e-13,6.318696793440174e-13,N1,7042
6.024834883434743e-10,9.177608470421485e-12,1.1059307208085263e-12,9.396065610788986e-13,Wake,7042
6.11895793432242e-11,3.1435065100366487e-12,1.1507174092404284e-12,8.448190072258766e-13,N1,7042
5.5423756740382125e-11,8.418384368351982e-12,1.7199133146973055e-12,8.270447395845996e-13,N2,7042
1.3101535318582613e-10,7.996484283127808e-12,3.584609848874171e-12,5.472431858670868e-13,N3,7042
1.3566286786677956e-10,9.714844065823879e-12,2.990541391028696e-12,5.040424545776937e-13,N2,7042
1.680292462153092e-10,1.035061422367958e-11,3.71514338921858e-12,4.1779424210863825e-13,N3,7042
1.547699974708126e-10,1.0911458747290967e-11,3.927657801586196e-12,4.4896999585098206e-13,N2,7042
1.9459471928289439e-10,7.728442306504142e-12,4.1998759796584625e-12,3.697634485769611e-13,N3,7042
2.407248224386187e-10,9.44958332810041e-12,4.0553627386034845e-12,3.537096629117064e-13,N3,7042
2.4397305710932597e-10,1.1108193595546521e-11,3.6606245454772894e-12,6.621663209782992e-13,N3,7042
2.5732459609935586e-10,8.491503734301183e-12,4.602154658996555e-12,7.857807623282879e-13,N2,7042
1.9380186684736108e-10,1.044854660375909e-11,3.96285941470477e-12,3.698232362776791e-13,N3,7042
2.1604328417733912e-10,9.081667906428146e-12,4.872169606665641e-12,5.959622539276421e-13,N2,7042
1.99561964914881e-10,7.949928626787753e-12,4.372375484316048e-12,4.4948081029131466e-13,N3,7042
2.3150323426557822e-10,1.0990318632978003e-11,2.92889093729974e-12,4.199853254257111e-13,N3,7042
5.004031892256919e-10,1.1776111853589788e-11,2.5453973788151284e-12,4.5399299673701137e-13,N3,7042
2.7534724448686954e-10,8.031212213096215e-12,2.4085929276983092e-12,5.036324441272952e-13,N3,7042
2.74643192240489e-10,8.666535086947624e-12,3.907553189934438e-12,4.0542447341231927e-13,N3,7042
2.1801770272251403e-10,9.587974689064268e-12,2.838862046959668e-12,3.808267669141976e-13,N3,7042
3.0350257702812716e-10,7.652860880841485e-12,3.463991359472942e-12,2.7666941287445764e-13,N3,7042
3.0499426637894914e-10,5.978620214154245e-12,2.9612774364349313e-12,3.348726355810133e-13,N3,7042
3.6218092667633556e-10,8.750078056028922e-12,3.3032173718006013e-12,3.065824283150952e-13,N3,7042
3.880778296182123e-10,8.617468795199471e-12,3.4821804594800963e-12,2.5934084029895954e-13,N3,7042
2.9438977339252305e-10,8.687148846545708e-12,3.968769143534351e-12,7.081950975492594e-13,N3,7042
2.543241786857322e-10,7.386742125835837e-12,2.9733718996309956e-12,4.147354512902945e-13,N3,7042
2.911732263032846e-10,6.103889364360269e-12,3.3931727906542927e-12,2.41362005578931e-13,N3,7042
2.70067454077832e-10,1.0472624175558566e-11,3.929435083926105e-12,6.791377099655087e-13,N3,7042
2.5780038796227857e-10,1.0862805749215855e-11,3.064159548877649e-12,2.462067377512002e-13,N3,7042
3.5483111385321754e-10,7.284826282908074e-12,2.5781976612572014e-12,2.1623118182675063e-13,N3,7042
2.6121130749966805e-10,1.0179303001407356e-11,3.6540449945820176e-12,3.878137396014344e-13,N3,7042
4.517029428469986e-10,7.435964235795715e-12,2.978767703342387e-12,7.684339777665953e-13,N3,7042
3.4595093368301324e-10,1.1093469232121669e-11,4.171137661310237e-12,4.358043660525178e-13,N3,7042
3.4459851377743893e-10,6.282864778506136e-12,2.5518801170603334e-12,3.363650956482202e-13,N3,7042
2.0222437161843765e-10,9.27923267283834e-12,2.561578290245198e-12,4.4142324174713563e-13,N3,7042
3.5464628360395617e-10,8.093482429703116e-12,3.3367361109270146e-12,5.197805779656862e-13,N3,7042
2.2564531854610977e-10,6.757713364008213e-12,2.6890727460687546e-12,3.573385161861813e-13,N3,7042
3.34837773152246e-10,7.422541881616605e-12,3.589153437927343e-12,4.242552965080478e-13,N3,7042
2.6210590027663874e-10,5.699482816941492e-12,2.7471236117848597e-12,3.657662843875549e-13,N3,7042
3.015679440707984e-10,9.71987809287129e-12,3.719293682058686e-12,2.931965536398734e-13,N3,7042
1.5893987785972127e-10,6.760248980875646e-12,3.489016095796806e-12,3.4404377778424316e-13,N3,7042
3.531397020607668e-10,6.947879626079545e-12,2.903461560879719e-12,6.637558719309426e-13,N3,7042
4.721825524176752e-10,1.127035354896125e-11,5.336624147274377e-12,5.850077887962697e-13,N3,7042
1.2712660820004108e-10,6.8929524625613804e-12,4.673078231370575e-12,1.9682069849300197e-12,N2,7042
1.2715311323785524e-10,1.6366894615593015e-11,1.1231051491152385e-11,1.3692133376313275e-11,N1,7042
2.2243646807632112e-11,2.4760393672622234e-12,6.694764369878215e-12,6.234641356178346e-13,N2,7042
3.212859630382064e-10,6.5361363609747294e-12,4.689303955129029e-12,7.362418108438469e-13,N3,7042
1.80794132317937e-10,4.7044779542514294e-12,3.983157752528921e-12,6.043951635876897e-13,N2,7042
1.8290207476177286e-10,4.900631667875364e-12,6.103524486874683e-12,6.707191820970597e-13,N3,7042
2.5383353740177926e-10,4.4478485973402915e-12,5.1383795712944275e-12,1.0949773975706293e-12,N2,7042
1.6400622963163584e-10,4.761474316183193e-12,2.545829956768047e-12,3.755011659361608e-13,N3,7042
1.569953027846839e-10,5.458157824524102e-12,3.467510668453961e-12,4.2193565055185945e-13,N2,7042
2.687904946294792e-10,5.065552029473506e-12,2.180991931857575e-12,2.1785557272838403e-13,N3,7042
3.5556019314173576e-10,5.8954576307070505e-12,2.6232324218732235e-12,3.9336580974443633e-13,N3,7042
3.1098184879606087e-10,5.7606367980698214e-12,3.876874672074853e-12,6.57702650333882e-13,N3,7042
3.426685887865694e-10,1.0283845136608198e-11,8.59913700601853e-12,2.1600165559382383e-12,Wake,7042
5.274208321033444e-11,1.505564660141524e-12,1.617031939980892e-12,2.7396883153532857e-13,N1,7042
8.43598951058248e-11,3.1438607522188517e-12,4.122782282032432e-12,5.568920398567352e-13,N2,7042
2.0348735504982286e-10,3.317890520972674e-12,2.415270726332755e-12,2.8264860304454347e-13,N3,7042
2.3903631189230824e-10,6.532360109465476e-12,5.402559870799495e-12,6.145894461128924e-13,N2,7042
2.6322474583981966e-10,5.962187631393374e-12,3.2992495936936355e-12,4.1565952969514087e-13,N3,7042
2.7505774473507175e-10,5.807887376514592e-12,3.3111605008139846e-12,3.156926988153224e-13,N2,7042
2.918999509558275e-10,6.018444211173379e-12,3.371975140025539e-12,4.086467496201605e-13,N3,7042
1.3415430134623725e-10,4.14277919414608e-12,3.4405232805688475e-12,4.0176830721235047e-13,N2,7042
2.756550862054408e-10,5.5594935529913135e-12,3.1806284473777634e-12,2.8105926352786167e-13,N3,7042
2.7564121309578807e-10,4.6473410654002835e-12,2.2014752476263302e-12,6.346433867039453e-13,N2,7042
3.120004616202453e-10,5.361705327172468e-12,2.459724051372142e-12,5.642731807740355e-13,N3,7042
2.744428821809089e-10,5.911130604030478e-12,4.919233076029934e-12,5.205704504919751e-13,N3,7042
2.9725232362860304e-10,5.6286945120238215e-12,3.7135634688864985e-12,3.7725411317274703e-13,N3,7042
3.066561135070076e-10,5.481902709839893e-12,4.187655921654134e-12,3.5437520039455385e-13,N3,7042
3.848456618039115e-10,6.651938765839788e-12,4.3368013585843066e-12,6.141076285759131e-13,N3,7042
3.2806095317923466e-10,4.8303724509420185e-12,5.353185825134618e-12,4.293197592635288e-13,N2,7042
2.648525146460227e-10,6.964017127489834e-12,2.2250178657961743e-12,2.4893482819954656e-13,N3,7042
6.442757591417577e-10,8.876686127580771e-12,7.948971591241513e-12,4.590358849608703e-13,N1,7042
6.108996647153299e-11,3.788424294568181e-12,2.035239026564975e-12,1.4644123588781636e-12,N2,7042
1.3636177375922255e-10,1.1626804226537949e-11,8.872373984625912e-12,1.0631726344699284e-11,Wake,7042
5.016810466973317e-11,4.398517601028463e-12,3.531301765001455e-12,4.096281329877167e-13,N1,7042
2.654468105536394e-11,1.8079651098755668e-12,4.589768078556424e-12,9.57715398702111e-13,N2,7042
2.611210241925793e-10,7.91012708974877e-12,1.0187749173801342e-11,4.136931823691939e-12,Wake,7042
2.8605795100674447e-11,3.952430028552918e-12,5.140072117287729e-12,1.245551728865004e-11,N1,7042
3.758612490741554e-11,1.8924534296841308e-12,5.045351550231191e-12,4.919015347148262e-13,N2,7042
6.333323330285923e-11,6.612961183519727e-12,1.5878500071499391e-12,6.748437014794472e-13,REM,7042
3.261815403195856e-11,2.725011620895555e-12,2.347891096420094e-12,8.537224341727262e-13,N2,7042
1.1453476592423202e-10,6.6492550107188994e-12,9.194773659092625e-12,4.677774739599417e-12,Wake,7042
2.995745774010808e-11,3.254592019112345e-12,2.136741942254128e-12,9.20694077379348e-13,N1,7042
4.552533889446665e-11,3.642593138959824e-12,2.8233227132962434e-12,1.460099784277945e-12,N2,7042
1.0832844961757408e-10,4.691837284165664e-12,8.81210479935117e-12,2.5905947538557975e-12,N1,7042
7.177402334155331e-11,2.5308515355923163e-12,2.0829082172013996e-12,7.181067187600776e-13,N2,7042
1.7985061342600082e-10,7.019724633062337e-12,1.3360103510949703e-11,3.98365734331312e-12,Wake,7042
3.402417361593325e-11,1.480258616137337e-12,2.396310645756111e-12,9.838223357678063e-13,N1,7042
2.2385877291328547e-11,1.4846613080700441e-12,2.162299116060481e-12,4.4904917363753197e-13,N2,7042
1.0012277091024045e-10,7.801811090293692e-12,8.243528156585203e-13,3.570151414686548e-13,REM,7042
1.0747327050829113e-10,3.6193068222945447e-12,1.904496443298194e-12,1.8678059623506365e-12,N1,7042
2.097104224947563e-11,1.453409611950524e-12,2.080053048360355e-12,6.516944741042023e-13,N2,7042
8.522032486175727e-10,1.4459833378611362e-11,3.981399038533088e-12,3.771952233447361e-12,Wake,7042
2.3514152779874623e-11,2.8661932265982096e-12,2.903286166528617e-12,2.28502575382301e-12,N1,7042
2.600036697407865e-11,1.9719658642832453e-12,2.4346792485354717e-12,4.837935497667506e-13,N2,7042
2.069436440052813e-10,4.087542210731845e-12,2.018316964253906e-12,1.068816891192534e-12,N1,7042
3.358567696976811e-11,2.994818156885269e-12,1.7844785627011116e-12,8.575533803343808e-13,N2,7042
1.1193652008122443e-10,1.8551657809276034e-12,1.5646203510533301e-12,1.1315441063900245e-12,N1,7042
1.4378692191826474e-11,1.59045366771824e-12,4.138646137374508e-12,7.80582181160343e-13,N2,7042
1.2649106712330181e-10,8.742425592176548e-12,9.379573594225551e-12,8.070408892363286e-12,Wake,7042
4.0335900619693166e-11,5.5909408071510754e-12,6.138543366652004e-12,2.856873500495734e-12,N1,7042
4.046757819766521e-11,3.5728364405947625e-12,2.771845074113097e-12,1.410963623031306e-12,N2,7042
1.5936453128373033e-10,8.551506369327691e-12,7.038664995936108e-12,5.839720140992506e-12,Wake,7042
2.153507355164989e-11,1.9641843791732622e-12,1.8731266551278293e-12,1.2980852246758955e-12,N1,7042
3.264096620046409e-11,1.336003257664758e-12,1.334734602997137e-12,5.44961947469596e-13,N2,7042
2.0234070465955395e-10,1.001425709097343e-11,1.85063336894427e-12,1.4999244367778744e-12,Wake,7042
1.1818013141976396e-11,1.212271368689988e-12,1.1404613303245985e-12,8.280821224447611e-13,N1,7042
1.0356633464835938e-10,3.979216148594416e-12,2.881002814873851e-12,2.751074743348379e-12,Wake,7042
1.1207926396594718e-11,9.518397276168403e-13,6.849038017005697e-13,2.9558481908029244e-13,N1,7042
3.149429556895694e-11,2.3993221788323427e-12,1.6041867712108722e-12,9.373950933454958e-13,N2,7042
4.860566935633026e-11,4.62443527705335e-12,1.0186041826117278e-12,4.1597759262310534e-13,REM,7042
4.483725928201449e-11,4.398144062521602e-12,1.037135195819908e-12,5.091605341700085e-13,N2,7042
1.3137105670431691e-10,8.8843954737566e-12,6.941784407910786e-12,5.112728504315565e-12,Wake,7042
2.114923751107759e-11,2.003509771788702e-12,1.7181960868806579e-12,8.810144922727447e-13,N1,7042
3.545682290481031e-11,2.555574717369619e-12,1.39860540593861e-12,6.020142578937763e-13,N2,7042
2.863260933030628e-11,2.0641943595798376e-12,2.897774302601444e-12,2.222789659735682e-12,N1,7042
1.412122030021503e-10,1.6063458031992554e-11,2.9279645212206976e-12,5.125317334168872e-13,N2,7042
3.9616905907277976e-11,2.9538720317775586e-12,1.839350371374821e-12,1.2073873672386843e-12,N2,7042
5.781203579820616e-11,3.874450099239653e-12,1.097755502232266e-12,4.4623667386723863e-13,REM,7042
4.2063498258149916e-11,5.143720565649672e-12,1.1058883587712325e-12,4.5300305634496066e-13,N2,7042
2.6246533950379502e-11,2.258609838158244e-12,1.619311070990617e-12,1.6262634829693292e-12,N1,7042
1.5845871978828688e-11,2.7617347246944344e-12,1.293903838796588e-12,5.866876676114174e-13,N2,7042
6.699998037685186e-11,4.584127226484291e-12,4.21091617859208e-12,1.888984107720636e-12,N1,7042
5.618789157974484e-10,2.15765776689229e-11,1.4309914444633172e-11,2.6092025700528132e-11,Wake,7042
1.2759923485204318e-11,1.1878159527224252e-12,9.924875087337287e-13,3.6283743073206824e-13,N1,7042
1.841894370353555e-11,2.8587164959193227e-12,2.8299713302041085e-12,2.85765394890044e-12,Wake,7042
1.397083724344619e-11,1.6016245776630856e-12,6.829085021893217e-13,3.237853486363931e-13,N1,7042
1.2921650824078343e-11,1.5691690274173518e-12,1.6262151004357355e-12,1.2608400118423112e-12,Wake,7042
1.3185703253753123e-11,1.0502526721301708e-12,6.247888938010642e-13,3.6332179915373485e-13,N1,7042
2.482092429671322e-11,2.079024158068664e-12,5.183514845918399e-13,3.633421831934224e-13,N2,7042
2.448294252549977e-10,2.8959904474460487e-12,2.3005044500790934e-12,1.888786813601076e-12,Wake,7042
1.0088687459212872e-11,1.3315086526227852e-12,8.509388688847064e-13,3.237012396837589e-13,N1,7042
1.2766402901591889e-11,1.2403247949474518e-12,7.369857878544785e-13,3.389912123265203e-13,N2,7042
4.617486626450293e-11,2.3746352157088333e-12,9.57509992644628e-13,9.065019440733611e-13,N1,7042
1.8461090772971563e-09,6.515922203199466e-11,2.8644500662363383e-11,5.898065329676911e-11,Wake,7042
1.534815868784041e-11,2.4623668225257218e-12,7.194284007824272e-13,4.904388970478939e-13,N1,7051
1.2709724664382864e-10,6.265093752980753e-12,3.1258047360399335e-12,2.949341537881517e-12,Wake,7051
1.33534356174236e-11,2.6285404489566396e-12,9.10580358868617e-13,5.813908166705956e-13,N1,7051
7.670245686491096e-11,5.0731897824063656e-12,1.3899614862311283e-12,8.458223309161867e-13,Wake,7051
2.101320551873297e-11,2.1533840467313637e-12,9.045365120868701e-13,4.16244427310506e-13,N1,7051
2.0810234181890173e-10,4.175021930207357e-12,3.731779647638227e-12,2.7798312796290334e-12,Wake,7051
9.051432821724439e-12,1.4499760208821612e-12,4.94216196856184e-13,3.1963307333869133e-13,N1,7051
3.2321211683824673e-11,5.473752934170964e-12,2.9036898784564784e-12,6.622797052830288e-13,N2,7051
2.956412172666499e-11,4.886371410856731e-12,1.7704252468179576e-12,8.478912396981412e-13,N1,7051
5.836378751188205e-11,8.747334535856982e-12,3.5918743219838788e-12,1.3210681086329689e-12,N2,7051
3.945162959558752e-11,5.673926225196367e-12,3.100507044809249e-12,2.079705349719703e-12,Wake,7051
3.9629346766806173e-11,4.383112746925487e-12,1.336041234822402e-12,5.190260620657943e-13,N1,7051
5.07123839430518e-11,4.9439790866012145e-12,2.0658695399546804e-12,5.830017249172832e-13,N2,7051
